slug,title,keyword,keywords,intent
portable-power-kaigo,介護施設向けポータブル電源比較,ポータブル電源 1000Wh 防災,ポータブル電源 介護施設 停電|非常用電源 事業所 リン酸鉄|ポータブル電源 1500W 防災|蓄電池 事業所 停電対策|福祉施設 ポータブル電源|防災 ポータブル電源 業務用|ポータブル電源 1000Wh 1500W リン酸鉄 事業所|ポータブル電源 UPS 1000Wh 介護施設|蓄電池 1500Wh 法人 防災,購入前比較
office-bichiku,小規模オフィス向け防災備蓄セット比較,法人 防災セット 事業所 備蓄,会社 防災備蓄 セット|オフィス 防災セット 保存水 非常食|企業 防災用品 セット|帰宅困難者 備蓄 セット|防災セット 10人用|法人 防災セット|法人 防災備蓄 10人用 3日分|オフィス 防災セット 保存水 非常食 10人用|帰宅困難者 備蓄 企業 10人,購入前比較
kitaku-konnansha,帰宅困難者対策の備蓄品比較,帰宅困難者 防災セット,帰宅困難者 備蓄 企業|アルミブランケット 防災 大量|保存水 非常食 セット 会社|防災リュック 法人 企業|帰宅困難 備蓄 企業,購入前比較
restaurant-dansui,飲食店向け断水対策用品比較,断水対策 飲食店,非常用 給水袋 業務用|ポリタンク 水 備蓄|手指消毒 断水 防災|ウェットティッシュ 業務用 防災|非常用トイレ 消臭袋 飲食店|給水タンク 折りたたみ 防災|簡易トイレ 飲食店,購入前比較
hoikuen-bousai,保育園向け防災備蓄セット比較,保育園 防災備蓄 非常食,子供 非常食 7年保存|アレルギー対応 非常食 防災|保育園 防災セット|幼稚園 防災用品 備蓄|子供 防災セット|防災セット 子供用,購入前比較
toilet-office,事業所向け簡易トイレ比較,簡易トイレ 100回 事業所,非常用トイレ 企業 備蓄|簡易トイレ 15年保存 法人|非常用トイレ 500回 業務用|災害用トイレ 断水 会社|携帯トイレ まとめ買い|非常用トイレ 法人|非常用トイレ 100回分 法人|簡易トイレ 200回分 企業|非常用トイレ 500回分 業務用|簡易トイレ 組織用 100回分,購入前比較
earthquake-office,事業所向け地震対策用品比較,地震対策 防災用品 事業所,会社 地震 防災備蓄 セット|企業 防災用品 地震|事業所 防災セット 保存水 非常食|地震 簡易トイレ 会社|帰宅困難者 備蓄 セット,購入前比較
typhoon-office,事業所向け台風・大雨対策用品比較,台風 対策 防災用品 会社,大雨 対策 防災用品 事業所|停電対策 ライト 会社|台風 停電 ポータブル電源|防水 シート 土のう 防災|給水タンク 防災,購入前比較
blackout-power,停電対策用品比較,停電対策 ポータブル電源 防災,ポータブル電源 1000Wh 防災|非常用電源 事業所|LEDランタン 防災 充電式|蓄電池 停電対策|モバイルバッテリー 防災 大容量,購入前比較
water-food-stock,会社・事業所向け保存水・非常食比較,保存水 非常食 セット 会社,法人 保存水 非常食|企業 備蓄 保存水|非常食 セット 企業|長期保存水 事業所|アルファ米 企業 備蓄,購入前比較
bcp-stockpile-checklist,事業所防災備蓄チェックリスト,事業所 防災備蓄 チェックリスト,会社 防災備蓄 セット|企業 防災用品 セット|帰宅困難者 備蓄 セット|簡易トイレ 会社 備蓄|保存水 非常食 セット 会社,購入前比較
